0.1,290,3.96,100
0.1,292,3.3,100
0.1,290,3.96,100
0.1,290,3.5,100
0.1,290,3.56,50
0.1,289,2.95,50
0.1,287,2.48,50
0.1,288,3.08,50
0.1,289,2.34,50
0.1,287,2.55,50
0.1,290,3.14,50
0.1,292,3.54,50
0.1,291,3.27,100
0.1,289,3.68,100
0.1,291,5.0,100
0.1,291,3.45,100
0.1,290,2.82,50
0.1,291,3.41,50
0.01,290,2.07,50
0.01,291,2.78,50
0.01,291,2.63,50
0.01,289,3.06,50
0.01,546,0.77,50
0.01,547,0.76,50
0.01,546,0.79,50
0.01,545,0.72,50
0.01,544,0.77,50
0.01,497,0.89,50
0.01,503,1.26,50
0.01,500,1.33,50
0.01,501,0.98,50
0.01,502,1.04,50
0.01,499,0.96,50
0.01,463,1.15,50
0.01,460,1.09,50
0.01,462,1.15,50
0.01,462,1.17,50
0.01,462,0.94,50
0.01,429,1.2,50
0.01,428,1.24,50
0.01,428,1.37,50
0.01,429,1.23,50
0.01,428,1.34,50
0.01,429,1.17,50
0.01,427,1.32,50
0.01,547,0.73,50
0.01,546,0.79,50
0.01,532,0.78,50
0.01,554,0.77,50
0.01,569,0.75,50
0.01,567,0.7,50
0.01,645,0.58,50
0.01,568,0.76,50
0.01,620,0.62,50
0.01,617,0.71,50
0.01,618,0.61,50
0.01,620,0.7,50
0.01,467,1.13,50
0.01,465,1.09,50
0.01,468,1.09,50
0.01,566,4.01,50
0.01,473,1.07,50
0.01,476,1.09,50
0.01,475,1.1,50
0.01,563,0.73,50
0.01,564,0.45,50
0.01,565,0.63,50
0.01,563,0.52,50
0.01,278,4.53,50
0.01,485,1.29,50
0.01,484,0.61,50
0.01,519,2.18,50
0.01,603,0.66,50
0.01,617,0.45,50
0.01,617,0.37,50
0.01,619,0.47,50
0.01,160,Infinity,50
0.01,187,8.1,50
0.01,527,Infinity,50
0.01,553,0.63,50
0.01,563,1.6,50
0.01,556,0.59,50
0.01,553,0.84,50
0.01,558,0.55,50
0.01,557,1.35,50
0.01,560,1.49,50
0.01,554,0.59,50
0.01,562,1.29,50
0.01,562,1.41,50
0.01,558,1.22,50
0.001,580,1.63,50
0.001,559,0.44,50
0.001,553,0.59,50
0.001,551,0.14,50
0.001,554,0.14,50
0.001,555,0.14,50
0.001,554,0.31,50
0.001,550,0.08,50
0.001,549,0.06,30
0.001,552,0.08,30
0.001,551,0.06,30
0.001,558,0.46,30
0.001,550,0.04,30
0.001,548,0.02,30
0.001,552,0.08,30
0.001,|579|,0.86,30
0.001,|9.392186565495809|,0.06,30
0.001,|9.392186565495809|,0.04,30
0.001,|9.332555518858683|,0.08,30
0.001,|9.2736220543617|,0.06,30
0.001,|9.23471475983542|,0.4,30
0.001,|9.312834112358207|,0.04,30
0.001,|8.303823662390617|,1.58,30
0.001,|9.25413052827303|,1.76,30
0.001,|9.33|,0.12,30
0.001,|9.43|,0.04,30
0.001,|9.01|,1.17,30
0.001,|9.37|,0.1,30
0.001,|9.41|,0.14,30
0.01,|9.31|,0.68,30
0.01,|9.2|,1.29,30
0.01,|9.2|,0.77,30
0.01,|9.2|,0.76,30
0.01,|9.23|,0.68,30
0.01,|9.22|,0.75,30
0.01,|9.2|,0.75,30
0.01,|9.23|,0.75,30
0.01,|9.23|,0.77,30
0.01,|9.2|,0.77,30
0.01,|9.22|,0.78,30
0.01,|9.2|,0.84,30
0.001,|9.31|,0.0,30
0.001,|9.31|,0.04,30
0.001,|9.29|,0.04,30
0.001,|9.31|,0.02,30
0.001,|9.29|,0.04,30
0.001,|9.29|,0.08,30
0.001,|9.25|,0.64,30
0.001,|8.9|,0.75,30
0.001,|8.48|,1.31,30
0.001,|9.27|,0.08,30
0.001,|9.29|,0.04,30
0.001,|9.31|,0.0,30
0.01,|9.22|,0.75,30
0.01,|9.25|,0.68,30
0.01,|9.2|,0.73,30
0.01,|9.2|,0.75,30
0.05,|9.23|,0.73,30
0.05,|9.22|,0.77,30
0.05,|9.18|,0.77,30
0.05,|9.23|,0.82,30
0.01,|9.22|,0.75,50
0.01,|9.16|,1.2,50
0.01,|9.23|,0.75,50
0.01,|9.22|,0.75,50
0.01,|9.23|,0.77,50
0.01,|9.23|,0.78,20
0.01,|9.22|,0.75,20
0.01,|9.25|,0.75,20
0.01,|9.27|,0.75,20
0.01,|9.23|,0.73,20
0.01,|9.23|,0.71,20
0.01,|9.31|,0.1,10
0.01,|9.23|,0.79,10
0.01,|9.23|,0.68,10
0.01,|9.16|,0.7,10
0.01,|9.16|,0.75,10
